sid,질의,일자,언론사,label,ev_date,ev_place,ev_object,memo
S01250,화학공장 폭발,20240627,쿠키뉴스,REF,,,,
S00659,염소 가스 누출,20240319,YTN,EVENT,,,,
S01302,탄저균 테러,20260413,충북일보,INST,,,,
S00909,화학사고 대응,20230228,기호일보,INST,,,,
S02249,테러 예고 글,20240130,문화일보,EVENT,,,,
S01490,화학무기 사용,20220701,중앙일보,IRRELEVANT,,,,
S02778,방사능 유출,20260728,아시아투데이,IRRELEVANT,,,,
S00043,북한 생화학무기,20230106,머니투데이,OTHER,,,,
S01962,유해화학물질 유출,20240421,환경일보,INST,,,,
S02463,사제폭탄,20260615,파이낸셜뉴스,IRRELEVANT,,,,
S00532,백색가루 신고,20220613,노컷뉴스,EVENT,,,,
S02038,더티밤,20221024,서울경제,OTHER,,,,
S01352,화학사고 대응,20220728,금강일보,INST,,,,
S01099,화학공장 폭발,20230622,아주경제,IRRELEVANT,,,,
S02519,암모니아 누출 사고,20250903,남도일보,IRRELEVANT,,,,
S02096,생물테러,20230906,환경일보,IRRELEVANT,,,,
S00636,북한 핵실험,20240923,한국경제,OTHER,,,,
S01949,다중이용시설 테러,20231103,충청일보,INST,,,,
S01138,드론 공격,20250319,강원일보,IRRELEVANT,,,,
S01004,화학무기 사용,20220314,국민일보,EVENT,,,,
S01510,차량 돌진 테러,20250103,동아일보,EVENT,,,,
S00230,노비촉,20240221,중앙일보,IRRELEVANT,,,,
S02625,북한 핵실험,20220724,아시아경제,OTHER,,,,
S01145,탄저균 테러,20250408,뉴스핌,OTHER,,,,
S01953,백색가루 신고,20250211,중부일보,IRRELEVANT,,,,
S01709,노비촉,20260215,전자신문,IRRELEVANT,,,,
S00884,방사능 유출,20220808,한국일보,OTHER,,,,
S02105,화학공장 폭발,20220211,아시아경제,EVENT,,,,
S00016,백색가루 신고,20220427,머니투데이,EVENT,,,,
S01856,화학무기 사용,20241217,아시아경제,IRRELEVANT,,,,
S02771,방사능 유출,20220304,머니투데이,OTHER,,,,
S00849,총기 난사,20221208,부산일보,IRRELEVANT,,,,
S01802,사린가스 공격,20250306,경향신문,IRRELEVANT,,,,
S01298,차량 돌진 테러,20230828,뉴스핌,IRRELEVANT,,,,
S01687,북한 생화학무기,20250624,헤럴드경제,IRRELEVANT,,,,
S00065,생물테러,20231103,충청일보,INST,,,,
S01767,드론 공격,20221110,KBS,INST,,,,
S02158,톨루엔 누출,20221014,경향신문,IRRELEVANT,,,,
S00993,사제폭탄,20230811,YTN,EVENT,,,,
S00869,더티밤,20260811,중앙일보,OTHER,,,,
S02343,유독가스 누출 대피,20240730,무등일보,EVENT,,,,
S01129,암모니아 누출 사고,20211027,중부일보,EVENT,,,,
S00251,유독가스 누출 대피,20260601,중도일보,EVENT,,,,
S01071,불산 누출,20211203,서울신문,IRRELEVANT,,,,
S02827,더티밤,20260811,경향신문,OTHER,,,,
S01187,방사능 유출,20250409,아시아경제,IRRELEVANT,,,,
S02780,다중이용시설 테러,20230807,중부일보,IRRELEVANT,,,,
S00400,생물테러,20230216,이데일리,IRRELEVANT,,,,
S02070,노비촉,20240502,서울신문,IRRELEVANT,,,,
S00034,방사능 유출,20220829,동아일보,OTHER,,,,
S02579,질산 누출,20260318,매일경제,EVENT,,,,
S01623,화학무기 사용,20220412,KBS,EVENT,,,,
S01151,북한 핵실험,20220615,중앙일보,OTHER,,,,
S02085,염소 가스 누출,20240319,한겨레,EVENT,,,,
S02347,화학공장 폭발,20220210,서울경제,OTHER,,,,
S02584,방사능 유출,20230523,YTN,IRRELEVANT,,,,
S01913,차량 돌진 테러,20230803,대전일보,IRRELEVANT,,,,
S01205,생물테러,20211118,제주일보,IRRELEVANT,,,,
S01821,북한 생화학무기,20220422,헤럴드경제,IRRELEVANT,,,,
S01774,북한 핵실험,20221111,SBS,IRRELEVANT,,,,
S02569,화학무기 사용,20240502,경향신문,EVENT,,,,
S00853,염소 가스 누출,20240314,기호일보,EVENT,,,,
S02728,질산 누출,20230909,EBN,IRRELEVANT,,,,
S01184,노비촉,20221007,문화일보,IRRELEVANT,,,,
S00506,사제폭탄,20240822,SBS,EVENT,,,,
S01574,방사능 유출,20250623,서울신문,IRRELEVANT,,,,
S02770,북한 생화학무기,20220325,경향신문,IRRELEVANT,,,,
S02476,테러 예고 글,20250928,브릿지경제,EVENT,,,,
S01591,탄저균 테러,20240829,금강일보,IRRELEVANT,,,,
S00711,원전 방사선 피폭,20230803,강원일보,IRRELEVANT,,,,
S01363,탄저균 테러,20220928,아시아경제,EVENT,,,,
S02302,백색가루 신고,20241106,부산일보,IRRELEVANT,,,,
S02602,방사능 유출,20260328,아시아경제,IRRELEVANT,,,,
S00319,염소 가스 누출,20241114,뉴스핌,IRRELEVANT,,,,
S02578,차량 돌진 테러,20250102,뉴스핌,IRRELEVANT,,,,
S00294,드론 공격,20221228,문화일보,OTHER,,,,
S02162,암모니아 누출 사고,20240904,환경일보,IRRELEVANT,,,,
S02389,차량 돌진 테러,20260728,서울신문,IRRELEVANT,,,,
S01341,황산 유출 사고,20241015,뉴스핌,IRRELEVANT,,,,
S00015,원전 방사선 피폭,20241219,KBS,INST,,,,
S00415,황산 유출 사고,20260712,매일신문,IRRELEVANT,,,,
S00956,방사능 유출,20230724,문화일보,IRRELEVANT,,,,
S01087,탄저균 테러,20240602,충청타임즈,IRRELEVANT,,,,
S01223,탄저균 테러,20211001,경향신문,IRRELEVANT,,,,
S01282,폭발물 테러,20240602,YTN,IRRELEVANT,,,,
S01428,노비촉,20240220,매일경제,EVENT,,,,
S00231,더티밤,20221109,아시아경제,IRRELEVANT,,,,
S02161,탄저균 테러,20250313,YTN,OTHER,,,,
S02847,더티밤,20220114,중앙일보,IRRELEVANT,,,,
S02861,탄저균 테러,20251107,쿠키뉴스,INST,,,,
S01998,생물테러,20230721,국민일보,EVENT,,,,
S01005,생물테러,20241212,아시아경제,IRRELEVANT,,,,
S01313,노비촉,20230522,아시아투데이,IRRELEVANT,,,,
S02532,화학무기 사용,20241218,YTN,IRRELEVANT,,,,
S00625,방사능 유출,20220225,MBC,IRRELEVANT,,,,
S02243,사제폭탄,20240630,아시아경제,REF,,,,
S00252,탄저균 테러,20230722,세계일보,IRRELEVANT,,,,
S02059,북한 생화학무기,20220801,한겨레,IRRELEVANT,,,,
S02510,북한 생화학무기,20220919,동아일보,INST,,,,
S00803,노비촉,20230605,헤럴드경제,IRRELEVANT,,,,
S02754,차량 돌진 테러,20260323,매일신문,IRRELEVANT,,,,
S02132,방사능 유출,20220304,뉴스핌,OTHER,,,,
S02074,더티밤,20241219,문화일보,IRRELEVANT,,,,
S01848,북한 생화학무기,20220427,경향신문,IRRELEVANT,,,,
S00943,탄저균 테러,20251208,서울경제,OTHER,,,,
S02729,북한 핵실험,20220120,문화일보,IRRELEVANT,,,,
S02576,황산 유출 사고,20230803,국민일보,EVENT,,,,
S02080,폭발물 테러,20230316,서울경제,INST,,,,
S01753,노비촉,20220407,서울신문,IRRELEVANT,,,,
S02042,암모니아 누출 사고,20260122,중부일보,OTHER,,,,
S00203,노비촉,20240217,조선일보,IRRELEVANT,,,,
S01634,사린가스 공격,20251227,서울경제,IRRELEVANT,,,,
S01030,방사능 유출,20230620,세계일보,OTHER,,,,
S00974,방사능 유출,20230907,이데일리,IRRELEVANT,,,,
S01695,화학무기 사용,20220314,MBC,OTHER,,,,
S00265,테러 예고 글,20230805,SBS,INST,,,,
S00957,드론 공격,20250615,이데일리,IRRELEVANT,,,,
S00867,다중이용시설 테러,20260520,이투데이,INST,,,,
S01261,질산 누출,20260226,울산신문,IRRELEVANT,,,,
S00582,화학무기 사용,20220313,이투데이,IRRELEVANT,,,,
S01389,북한 생화학무기,20230106,한국일보,IRRELEVANT,,,,
S02755,불산 누출,20251106,브릿지경제,EVENT,,,,
S00021,노비촉,20240307,조선일보,IRRELEVANT,,,,
S00136,화학무기 사용,20240407,아주경제,EVENT,,,,
S02779,북한 핵실험,20260210,서울경제,IRRELEVANT,,,,
S02531,북한 생화학무기,20221229,서울신문,OTHER,,,,
S01520,화학공장 폭발,20230127,아시아경제,EVENT,,,,
S01982,북한 생화학무기,20230508,아주경제,IRRELEVANT,,,,
S00774,테러 예고 글,20241107,서울경제,EVENT,,,,
S01529,사린가스 공격,20230820,대구신문,IRRELEVANT,,,,
S02528,방사능 유출,20260518,아시아경제,OTHER,,,,
S01452,방사능 유출,20230412,브레이크뉴스,OTHER,,,,
S02705,더티밤,20221026,이데일리,IRRELEVANT,,,,
S01002,유해화학물질 유출,20240216,충청일보,INST,,,,
S02513,노비촉,20240221,서울신문,IRRELEVANT,,,,
S00586,화학공장 폭발,20240902,시사IN,REF,,,,
S00357,생물테러,20251214,충청타임즈,IRRELEVANT,,,,
S00429,톨루엔 누출,20240328,금강일보,IRRELEVANT,,,,
S00512,화학무기 사용,20220821,아시아투데이,EVENT,,,,
S01704,차량 돌진 테러,20231214,뉴스핌,IRRELEVANT,,,,
S02574,생물테러,20250927,대전일보,IRRELEVANT,,,,
S01728,방사능 유출,20220309,한국일보,OTHER,,,,
S02537,폭발물 협박,20251215,경향신문,EVENT,,,,
S01096,사린가스 공격,20260527,서울경제,IRRELEVANT,,,,
S01954,노비촉,20240222,서울경제,IRRELEVANT,,,,
S02807,폭발물 협박,20251218,인천일보,EVENT,,,,
S01297,북한 핵실험,20250320,브레이크뉴스,IRRELEVANT,,,,
S00998,폭발물 협박,20260625,문화일보,REF,,,,
S02464,공항 폭발물 신고,20220630,서울신문,IRRELEVANT,,,,
S02205,불산 누출,20251121,이투데이,IRRELEVANT,,,,
S01010,북한 핵실험,20220504,서울신문,IRRELEVANT,,,,
S01395,노비촉,20240218,한겨레,IRRELEVANT,,,,
S00246,노비촉,20240226,국민일보,IRRELEVANT,,,,
S01306,북한 핵실험,20241202,동아일보,IRRELEVANT,,,,
S02789,노비촉,20240221,노컷뉴스,IRRELEVANT,,,,
S02763,황산 유출 사고,20260410,데일리안,EVENT,,,,
S01164,방사능 유출,20260517,디지털타임스,OTHER,,,,
S00149,테러 예고 글,20250709,매일신문,EVENT,,,,
S02295,염소 가스 누출,20240319,YTN,EVENT,,,,
S02801,사제폭탄,20220412,MBC,EVENT,,,,
S01761,더티밤,20250615,매일신문,IRRELEVANT,,,,
S01783,유해화학물질 유출,20240124,평택시민신문,REF,,,,
S00093,방사능 유출,20260330,동아일보,IRRELEVANT,,,,
S01813,불산 누출,20240120,YTN,IRRELEVANT,,,,
S02753,방사능 유출,20260328,메트로경제,IRRELEVANT,,,,
S02717,생물테러,20240422,스포츠서울,INST,,,,
S00967,더티밤,20221025,OBS,OTHER,,,,
S01721,북한 생화학무기,20240919,파이낸셜뉴스,IRRELEVANT,,,,
S01056,북한 생화학무기,20220403,세계일보,IRRELEVANT,,,,
S02314,방사능 유출,20220309,머니투데이,IRRELEVANT,,,,
S00337,화학사고 대응,20230820,울산신문,IRRELEVANT,,,,
S02590,드론 공격,20260223,경향신문,IRRELEVANT,,,,
S00099,염소 가스 누출,20230203,대한경제,IRRELEVANT,,,,
S01038,폭발물 테러,20230817,KBS,EVENT,,,,
S02782,테러 예고 글,20230807,국민일보,REF,,,,
S02683,드론 공격,20260719,서울신문,EVENT,,,,
S01985,방사능 유출,20220310,한국경제,OTHER,,,,
S00019,방사능 유출,20250613,세계일보,IRRELEVANT,,,,
S01285,생물테러,20251015,헤럴드경제,IRRELEVANT,,,,
S00281,테러 예고 글,20231031,머니투데이,EVENT,,,,
S01539,탄저균 테러,20221104,노컷뉴스,IRRELEVANT,,,,
S01933,백색가루 신고,20220612,매일신문,EVENT,,,,
S01936,더티밤,20260630,파이낸셜뉴스,INST,,,,
S00341,북한 생화학무기,20220330,디지털타임스,IRRELEVANT,,,,
S02773,유독가스 누출 대피,20260602,서울신문,REF,,,,
S02127,노비촉,20220330,조선일보,IRRELEVANT,,,,
S01405,노비촉,20240216,디지털타임스,IRRELEVANT,,,,
S01073,방사능 유출,20220725,YTN,OTHER,,,,
S00518,북한 핵실험,20220622,헤럴드경제,IRRELEVANT,,,,
S02562,사린가스 공격,20260526,문화일보,IRRELEVANT,,,,
S02551,방사능 유출,20220224,매일신문,IRRELEVANT,,,,
S02003,더티밤,20230706,이투데이,IRRELEVANT,,,,
S00127,사제폭탄,20250204,머니투데이,EVENT,,,,
S02123,탄저균 테러,20221130,뉴스핌,INST,,,,
S00010,방사능 유출,20250821,파이낸셜뉴스,IRRELEVANT,,,,
S02324,공항 폭발물 신고,20230808,머니투데이,IRRELEVANT,,,,
S02793,사린가스 공격,20230216,문화일보,IRRELEVANT,,,,
S00343,북한 생화학무기,20260404,브레이크뉴스,IRRELEVANT,,,,
S00368,방사능 유출,20220512,문화일보,IRRELEVANT,,,,
S01655,화학무기 사용,20220425,세계일보,IRRELEVANT,,,,
S00145,황산 유출 사고,20250409,아시아투데이,EVENT,,,,
S01291,노비촉,20211008,중앙일보,IRRELEVANT,,,,
S00572,탄저균 테러,20231101,뉴스핌,OTHER,,,,
S01349,테러 예고 글,20230807,매일경제,INST,,,,
S01921,폭발물 테러,20240617,YTN,IRRELEVANT,,,,
S02185,원전 방사선 피폭,20220203,세계일보,IRRELEVANT,,,,
S01041,화학무기 사용,20240310,조선일보,IRRELEVANT,,,,
S00540,북한 생화학무기,20240827,파이낸셜뉴스,IRRELEVANT,,,,
S02468,북한 핵실험,20231123,중앙일보,IRRELEVANT,,,,
S00128,질산 누출,20221202,노컷뉴스,EVENT,,,,
S02411,화학사고 대응,20251228,경기일보,INST,,,,
S02224,유해화학물질 유출,20250919,스포츠서울,INST,,,,
S02588,북한 핵실험,20220617,서울경제,OTHER,,,,
S02672,더티밤,20221025,경향신문,OTHER,,,,
S00168,화학무기 사용,20230531,중앙일보,IRRELEVANT,,,,
S02690,탄저균 테러,20231017,아시아투데이,IRRELEVANT,,,,
S01104,암모니아 누출 사고,20251014,OBS,EVENT,,,,
S00198,생물테러,20230210,광남일보,INST,,,,
S02273,원전 방사선 피폭,20250119,프레시안,IRRELEVANT,,,,
S01700,화학무기 사용,20220314,YTN,EVENT,,,,
S02100,탄저균 테러,20221016,매일경제,IRRELEVANT,,,,
S00369,백색가루 신고,20241023,뉴스핌,IRRELEVANT,,,,
S02066,북한 핵실험,20230328,한겨레,OTHER,,,,
S00697,노비촉,20250226,브레이크뉴스,IRRELEVANT,,,,
S00895,다중이용시설 테러,20230818,경남신문,IRRELEVANT,,,,
S02547,화학무기 사용,20220413,서울경제,IRRELEVANT,,,,
S02686,화학무기 사용,20211120,세계일보,IRRELEVANT,,,,
S00186,백색가루 신고,20250924,브릿지경제,IRRELEVANT,,,,
S02416,질산 누출,20260318,YTN,EVENT,,,,
S01940,화학무기 사용,20220329,스포츠서울,IRRELEVANT,,,,
S01445,방사능 유출,20240315,동아일보,OTHER,,,,
S02374,북한 생화학무기,20221227,매일경제,IRRELEVANT,,,,
S02296,노비촉,20251205,YTN,REF,,,,
S00355,노비촉,20230313,서울신문,IRRELEVANT,,,,
S02529,북한 핵실험,20220714,YTN,IRRELEVANT,,,,
S01815,생물테러,20240408,환경일보,IRRELEVANT,,,,
S02270,원전 방사선 피폭,20240125,노컷뉴스,INST,,,,
S02775,더티밤,20250614,YTN,IRRELEVANT,,,,
S01814,질산 누출,20230222,한라일보,IRRELEVANT,,,,
S02012,생물테러,20250414,한겨레,IRRELEVANT,,,,
S01316,더티밤,20221025,한국경제,IRRELEVANT,,,,
S00289,노비촉,20211227,경향신문,IRRELEVANT,,,,
S00123,방사능 유출,20240807,경향신문,IRRELEVANT,,,,
S02258,화학공장 폭발,20251230,이데일리,IRRELEVANT,,,,
S00491,노비촉,20260215,한국일보,IRRELEVANT,,,,
S02552,사제폭탄,20250817,세계일보,REF,,,,
S02653,방사능 유출,20220304,노컷뉴스,OTHER,,,,
S00720,폭발물 협박,20240808,세계일보,EVENT,,,,
S01111,북한 핵실험,20221206,조선일보,IRRELEVANT,,,,
S01963,화학무기 사용,20230508,아시아경제,OTHER,,,,
S02054,화학무기 사용,20220315,서울신문,EVENT,,,,
S00066,유독가스 누출 대피,20260614,중부매일,REF,,,,
S01504,드론 공격,20260819,중앙일보,IRRELEVANT,,,,
S02720,사린가스 공격,20221230,머니투데이,IRRELEVANT,,,,
S02554,원전 방사선 피폭,20230427,세계일보,IRRELEVANT,,,,
S01492,방사능 유출,20250623,KBS,OTHER,,,,
S02599,백색가루 신고,20220613,서울경제,EVENT,,,,
S00691,유해화학물질 유출,20220816,금강일보,INST,,,,
S02575,유독가스 누출 대피,20260602,문화일보,REF,,,,
S01420,톨루엔 누출,20230502,아시아경제,IRRELEVANT,,,,
S01743,북한 핵실험,20221211,국민일보,IRRELEVANT,,,,
S01358,북한 핵실험,20220614,뉴스핌,OTHER,,,,
S01870,테러 예고 글,20240604,머니투데이,IRRELEVANT,,,,
S00926,염소 가스 누출,20240625,경향신문,IRRELEVANT,,,,
S01988,노비촉,20220307,서울신문,IRRELEVANT,,,,
S00247,노비촉,20240502,한겨레,IRRELEVANT,,,,
S02594,탄저균 테러,20250420,데일리안,OTHER,,,,
S00277,다중이용시설 테러,20250915,쿠키뉴스,INST,,,,
S00885,노비촉,20231129,서울신문,IRRELEVANT,,,,
S01008,노비촉,20240221,KBS,IRRELEVANT,,,,
S00217,탄저균 테러,20231101,세계일보,OTHER,,,,
S01267,폭발물 테러,20251215,헤럴드경제,IRRELEVANT,,,,
S02745,화학공장 폭발,20220211,한겨레,EVENT,,,,
S01601,톨루엔 누출,20220213,무등일보,IRRELEVANT,,,,
S01688,북한 핵실험,20220511,문화일보,OTHER,,,,
S00381,생물테러,20220531,서울신문,IRRELEVANT,,,,
S01849,사린가스 공격,20231116,YTN,IRRELEVANT,,,,
S00913,원전 방사선 피폭,20230315,KBS,INST,,,,
S00498,북한 핵실험,20221005,YTN,IRRELEVANT,,,,
S00528,질산 누출,20240701,서울신문,EVENT,,,,
S01211,더티밤,20221024,아시아투데이,OTHER,,,,
S02734,노비촉,20241012,이투데이,IRRELEVANT,,,,
S01546,화학사고 대응,20240827,환경일보,INST,,,,
S01372,총기 난사,20230503,한국경제,EVENT,,,,
S01431,방사능 유출,20230921,YTN,INST,,,,
S00950,북한 생화학무기,20240911,아시아투데이,OTHER,,,,
S01588,불산 누출,20240710,뉴스핌,OTHER,,,,
S01739,북한 생화학무기,20240810,아시아경제,IRRELEVANT,,,,
S00837,방사능 유출,20220912,한국일보,IRRELEVANT,,,,
S01971,방사능 유출,20220303,YTN,OTHER,,,,
S00880,노비촉,20240217,디지털타임스,IRRELEVANT,,,,
S01206,노비촉,20240225,경향신문,IRRELEVANT,,,,
S00977,염소 가스 누출,20230615,노컷뉴스,IRRELEVANT,,,,
S01315,북한 핵실험,20221103,서울경제,OTHER,,,,
S01310,폭발물 협박,20211019,이투데이,EVENT,,,,
S01882,화학공장 폭발,20240626,한국경제,OTHER,,,,
S01832,방사능 유출,20260516,서울경제,EVENT,,,,
S02765,백색가루 신고,20230705,부산일보,IRRELEVANT,,,,
S02665,노비촉,20220329,경향신문,IRRELEVANT,,,,
S00564,유해화학물질 유출,20240327,디지털타임스,INST,,,,
S01214,화학무기 사용,20220413,헤럴드경제,EVENT,,,,
S00577,원전 방사선 피폭,20230707,국민일보,IRRELEVANT,,,,
S01241,노비촉,20241114,서울신문,IRRELEVANT,,,,
S02290,테러 예고 글,20250402,세계일보,IRRELEVANT,,,,
S02018,노비촉,20240217,서울신문,IRRELEVANT,,,,
S02329,사린가스 공격,20241212,경향신문,IRRELEVANT,,,,
S02138,더티밤,20221025,문화일보,OTHER,,,,
S00531,공항 폭발물 신고,20221126,아시아경제,EVENT,,,,
S00639,백색가루 신고,20241102,브레이크뉴스,IRRELEVANT,,,,
S01789,질산 누출,20251105,경향신문,IRRELEVANT,,,,
S01926,백색가루 신고,20220630,경북매일신문,INST,,,,
S02824,톨루엔 누출,20251013,한국일보,IRRELEVANT,,,,
S01511,북한 핵실험,20240501,한라일보,IRRELEVANT,,,,
S01483,질산 누출,20251106,문화일보,EVENT,,,,
S00098,탄저균 테러,20240529,중앙일보,IRRELEVANT,,,,
S02759,염소 가스 누출,20250513,뉴스핌,INST,,,,
S02336,불산 누출,20220825,경북도민일보,IRRELEVANT,,,,
S02339,백색가루 신고,20220704,노컷뉴스,EVENT,,,,
S00560,북한 생화학무기,20240804,머니투데이,IRRELEVANT,,,,
S01512,북한 생화학무기,20241004,경향신문,IRRELEVANT,,,,
S01995,폭발물 협박,20221103,세계일보,EVENT,,,,
S01516,생물테러,20250216,쿠키뉴스,IRRELEVANT,,,,
S00842,북한 핵실험,20220608,데일리안,OTHER,,,,
S00618,북한 핵실험,20221003,서울신문,IRRELEVANT,,,,
S02482,백색가루 신고,20240829,문화일보,EVENT,,,,
S01914,화학무기 사용,20220922,한국경제,IRRELEVANT,,,,
S00701,화학사고 대응,20240409,경기일보,INST,,,,
S00906,공항 폭발물 신고,20220521,매일신문,EVENT,,,,
S00047,화학공장 폭발,20220221,머니투데이,IRRELEVANT,,,,
S01029,화학사고 대응,20220721,아시아경제,OTHER,,,,
S00173,방사능 유출,20220819,경향신문,IRRELEVANT,,,,
S02439,유독가스 누출 대피,20260609,노컷뉴스,IRRELEVANT,,,,
S00779,더티밤,20221028,중앙일보,IRRELEVANT,,,,
S00212,백색가루 신고,20220612,서울신문,EVENT,,,,
S02776,화학무기 사용,20220412,아시아투데이,OTHER,,,,
S02109,북한 생화학무기,20211201,문화일보,IRRELEVANT,,,,
S00412,드론 공격,20230127,동아일보,EVENT,,,,
S00351,탄저균 테러,20221129,새전북신문,IRRELEVANT,,,,
S02352,노비촉,20240217,이데일리,IRRELEVANT,,,,
S00059,폭발물 테러,20240105,이데일리,EVENT,,,,
S01935,유해화학물질 유출,20250515,노컷뉴스,INST,,,,
S00477,방사능 유출,20220911,KBS,IRRELEVANT,,,,
S02477,원전 방사선 피폭,20230828,경향신문,IRRELEVANT,,,,
S02471,탄저균 테러,20220823,파이낸셜뉴스,IRRELEVANT,,,,
S01904,노비촉,20260217,뉴스핌,IRRELEVANT,,,,
