sid,qid,block,query,뉴스 식별자,일자,언론사,사건/사고 분류1,year,label,ev_date,ev_place,ev_object,event_id
S00084,Q15,안보,북한 핵실험,1101101.20211214,20211214,한국일보,,2021,OTHER,,,,
S00085,Q03,산업,염소 가스 누출,4100078.2026083,20260830,뉴스핌,,2026,EVENT,20260830,대전 서구,염소가스,667.0
S00086,Q09,산업,유독가스 누출 대피,2100101.20240123,20240123,매일경제,사고>산업사고>폭발,2024,IRRELEVANT,,,,
S00087,Q18,안보,백색가루 신고,2100051.202411021,20241102,대한경제,,2024,INST,,,,
S00088,Q10,산업,화학사고 대응,1601001.202409252,20240925,전북도민일보,,2024,INST,,,,
S00089,Q07,산업,톨루엔 누출,1100101.202209012,20220901,경향신문,사고>산업사고>폭발,2022,OTHER,,,,
S00090,Q08,산업,질산 누출,2100201.202603182,20260318,머니투데이,사고>스포츠사고,2026,EVENT,20260318,수원시,질산,584.0
S00091,Q25,비CBRN,차량 돌진 테러,8100401.20250102,20250102,YTN,,2025,EVENT,20250101,뉴올리언스,차량 돌진,392.0
S00092,Q25,비CBRN,차량 돌진 테러,1100701.202406121,20240612,세계일보,범죄>범죄일반>방화,2024,REF,,,,
S00093,Q16,안보,방사능 유출,1100401.2026033,20260330,동아일보,사고>산업사고>원자력사고,2026,EVENT,20260330,이란,공습,588.0
S00094,Q07,산업,톨루엔 누출,1400401.202403281,20240328,중부매일,사고>산업사고>폭발,2024,INST,,,,
S00095,Q15,안보,북한 핵실험,1100611.202312131,20231213,서울신문,,2023,OTHER,,,,
S00096,Q17,안보,더티밤,1100611.20221027,20221027,서울신문,,2022,OTHER,,,,
S00097,Q06,산업,유해화학물질 유출,1501301.202411042,20241104,울산신문,,2024,INST,,,,
S00098,Q14,안보,탄저균 테러,1100901.202405291,20240529,중앙일보,사고>산업사고>붕괴,2024,EVENT,20240528,,오물 풍선,312.0
S00099,Q03,산업,염소 가스 누출,2100051.202302031,20230203,대한경제,,2023,INST,,,,
S00100,Q28,비CBRN,다중이용시설 테러,1500701.202408222,20240822,부산일보,범죄>범죄일반>절도,2024,INST,,,,
S00101,Q22,비CBRN,사제폭탄,1100401.202306161,20230616,동아일보,사회>사회갈등>테러행위,2023,OTHER,,,,
S00102,Q06,산업,유해화학물질 유출,1400351.202411042,20241104,중도일보,,2024,INST,,,,
S00103,Q20,안보,북한 생화학무기,2100801.20240622,20240622,아시아경제,사회>사회갈등>전쟁,2024,OTHER,,,,
S00104,Q27,비CBRN,테러 예고 글,8100401.202410041,20241004,YTN,범죄>범죄일반>절도,2024,IRRELEVANT,,,,
S00105,Q03,산업,염소 가스 누출,2100201.202507101,20250710,머니투데이,,2025,EVENT,20250710,인천 서구,차아염소산나트륨,445.0
S00106,Q02,산업,암모니아 누출 사고,1501301.202409112,20240911,울산신문,사고>산업사고>화재,2024,INST,,,,
S00107,Q22,비CBRN,사제폭탄,1100901.20240625,20240625,중앙일보,범죄>범죄일반>유괴/납치,2024,IRRELEVANT,,,,
S00108,Q22,비CBRN,사제폭탄,2100311.202505141,20250514,서울경제,범죄>범죄일반>폭행,2025,IRRELEVANT,,,,
S00109,Q28,비CBRN,다중이용시설 테러,2100801.202608201,20260820,아시아경제,사고>산업사고>화재,2026,INST,,,,
S00110,Q17,안보,더티밤,1100611.202210261,20221026,서울신문,,2022,OTHER,,,,
S00111,Q27,비CBRN,테러 예고 글,1100501.202309031,20230903,문화일보,범죄>범죄일반>살인,2023,INST,,,,
S00112,Q26,비CBRN,폭발물 협박,2100201.202512221,20251222,머니투데이,,2025,EVENT,20251221,서울 용산구,폭발물 협박,554.0
S00113,Q29,비CBRN,공항 폭발물 신고,1500201.20231102,20231102,경북일보,사고>산업사고>화재,2023,INST,,,,
S00114,Q04,산업,황산 유출 사고,2100701.20250409,20250409,헤럴드경제,사고>산업사고>폭발,2025,EVENT,20250408,서울 성동구,황산,413.0
S00115,Q25,비CBRN,차량 돌진 테러,8100201.202503041,20250304,MBC,사고>교통사고>노상사고,2025,EVENT,20250304,독일,차량 돌진,406.0
S00116,Q28,비CBRN,다중이용시설 테러,1500801.202508172,20250817,영남일보,사회>사회갈등>전쟁,2025,INST,,,,
S00117,Q29,비CBRN,공항 폭발물 신고,1100701.202509291,20250929,세계일보,범죄>범죄일반>살인,2025,INST,,,,
S00118,Q05,산업,화학공장 폭발,1500901.202110062,20211006,울산매일,사고>산업사고>폭발,2021,OTHER,,,,
S00119,Q25,비CBRN,차량 돌진 테러,2100701.20241222,20241222,헤럴드경제,범죄>범죄일반>살인,2024,EVENT,20241220,마그데부르크,차량 돌진,385.0
S00120,Q24,비CBRN,총기 난사,4100158.202507292,20250729,데일리안,범죄>범죄일반>살인,2025,OTHER,,,,
S00121,Q02,산업,암모니아 누출 사고,2100351.202510141,20251014,이투데이,,2025,EVENT,20251014,오산시,암모니아,501.0
S00122,Q24,비CBRN,총기 난사,1100201.20240729,20240729,국민일보,범죄>범죄일반>폭행,2024,IRRELEVANT,,,,
S00123,Q16,안보,방사능 유출,1100101.202408071,20240807,경향신문,사고>산업사고>원자력사고,2024,EVENT,20240807,경주시,원전 비상발전기 작동,344.0
S00124,Q07,산업,톨루엔 누출,1500301.20251107,20251107,경상일보,사고>산업사고>폭발,2025,INST,,,,
S00125,Q28,비CBRN,다중이용시설 테러,1600901.202110251,20211025,전라일보,,2021,INST,,,,
S00126,Q01,산업,불산 누출,4100078.202511061,20251106,뉴스핌,,2025,OTHER,,,,
S00127,Q22,비CBRN,사제폭탄,2100201.202502042,20250204,머니투데이,사회>사회갈등>테러행위,2025,EVENT,20250203,,사제폭탄 예고글,396.0
S00128,Q08,산업,질산 누출,4100058.202212021,20221202,노컷뉴스,,2022,EVENT,20221202,여수시,질산,113.0
S00129,Q17,안보,더티밤,4101008.202210261,20221026,이데일리,,2022,OTHER,,,,
S00130,Q27,비CBRN,테러 예고 글,4100158.20211107,20211107,데일리안,사회>사회갈등>테러행위,2021,IRRELEVANT,,,,
S00131,Q03,산업,염소 가스 누출,1200101.202403201,20240320,경기일보,,2024,EVENT,20240319,의정부시,염소가스,297.0
S00132,Q04,산업,황산 유출 사고,1100101.202509171,20250917,경향신문,사고>산업사고>붕괴,2025,REF,,,,
S00133,Q01,산업,불산 누출,1400351.202511062,20251106,중도일보,,2025,INST,,,,
S00134,Q15,안보,북한 핵실험,8100401.202303201,20230320,YTN,,2023,OTHER,,,,
S00135,Q01,산업,불산 누출,1400601.202211021,20221102,충청일보,사고>산업사고>폭발,2022,INST,,,,
S00136,Q11,안보,화학무기 사용,2100851.202404072,20240407,아주경제,사고>산업사고>화재,2024,EVENT,20240407,우크라이나,화학무기,303.0
S00137,Q27,비CBRN,테러 예고 글,1100901.202407161,20240716,중앙일보,범죄>범죄일반>폭행,2024,INST,,,,
S00138,Q30,비CBRN,원전 방사선 피폭,1100901.202306191,20230619,중앙일보,,2023,OTHER,,,,
S00139,Q05,산업,화학공장 폭발,1100701.202506241,20250624,세계일보,사고>산업사고>폭발,2025,INST,,,,
S00140,Q02,산업,암모니아 누출 사고,1400801.202309111,20230911,금강일보,,2023,INST,,,,
S00141,Q23,비CBRN,드론 공격,1101101.202408261,20240826,한국일보,사회>사회갈등>전쟁,2024,IRRELEVANT,,,,
S00142,Q14,안보,탄저균 테러,7101201.20251118,20251118,디지털타임스,,2025,OTHER,,,,
S00143,Q04,산업,황산 유출 사고,8100401.202308031,20230803,YTN,,2023,EVENT,20230803,창원시,황산,175.0
S00144,Q30,비CBRN,원전 방사선 피폭,1100101.20211007,20211007,경향신문,,2021,INST,,,,
S00145,Q04,산업,황산 유출 사고,1100751.20250409,20250409,아시아투데이,사고>산업사고>폭발,2025,EVENT,20250408,서울 성동구,황산,413.0
S00146,Q22,비CBRN,사제폭탄,8100401.202308112,20230811,YTN,사회>사회갈등>테러행위,2023,EVENT,20230806,,사제폭탄 예고글,180.0
S00147,Q28,비CBRN,다중이용시설 테러,1100701.202508071,20250807,세계일보,사회>사회갈등>테러행위,2025,EVENT,20250807,부산 사하구,폭발물 협박,460.0
S00148,Q03,산업,염소 가스 누출,1400351.202403212,20240321,중도일보,,2024,INST,,,,
S00149,Q27,비CBRN,테러 예고 글,1500601.202507091,20250709,매일신문,,2025,EVENT,20250709,,테러 예고 글,442.0
S00150,Q16,안보,방사능 유출,1600201.202201122,20220112,광주매일신문,,2022,OTHER,,,,
S00151,Q23,비CBRN,드론 공격,2100801.20230508,20230508,아시아경제,,2023,INST,,,,
S00152,Q03,산업,염소 가스 누출,1400351.202512112,20251211,중도일보,,2025,INST,,,,
S00153,Q29,비CBRN,공항 폭발물 신고,1100801.202406211,20240621,조선일보,,2024,EVENT,20240621,부산시,폭발물 협박,323.0
S00154,Q02,산업,암모니아 누출 사고,4100158.202608211,20260821,데일리안,사고>교통사고>노상사고,2026,EVENT,20260821,서울 영등포구,암모니아,657.0
S00155,Q15,안보,북한 핵실험,2100101.202211061,20221106,매일경제,,2022,OTHER,,,,
S00156,Q02,산업,암모니아 누출 사고,1100101.20250403,20250403,경향신문,,2025,INST,,,,
S00157,Q01,산업,불산 누출,1200201.202406262,20240626,경인일보,사고>산업사고>폭발,2024,EVENT,20240624,화성시,화재,328.0
S00158,Q21,비CBRN,폭발물 테러,1100901.20231123,20231123,중앙일보,,2023,EVENT,20231122,나이아가라폴스,폭발,252.0
S00159,Q21,비CBRN,폭발물 테러,1100611.20250618,20250618,서울신문,범죄>범죄일반>방화,2025,INST,,,,
S00160,Q28,비CBRN,다중이용시설 테러,1501001.202403052,20240305,대구신문,,2024,INST,,,,
S00161,Q09,산업,유독가스 누출 대피,1100801.202406131,20240613,조선일보,사고>산업사고>폭발,2024,EVENT,20240613,부산 사상구,폭발,315.0
S00162,Q30,비CBRN,원전 방사선 피폭,1500201.20240126,20240126,경북일보,,2024,INST,,,,
S00163,Q04,산업,황산 유출 사고,4102008.20250703,20250703,쿠키뉴스,,2025,INST,,,,
S00164,Q25,비CBRN,차량 돌진 테러,1100611.202501052,20250105,서울신문,사고>산업사고>붕괴,2025,OTHER,,,,
S00165,Q08,산업,질산 누출,1200101.202603181,20260318,경기일보,,2026,EVENT,20260318,수원시,질산,584.0
S00166,Q24,비CBRN,총기 난사,1100751.202601261,20260126,아시아투데이,범죄>범죄일반>폭행,2026,EVENT,20260125,살라망카시,총기난사,564.0
S00167,Q30,비CBRN,원전 방사선 피폭,1500401.202308232,20230823,국제신문,,2023,INST,,,,
S00168,Q11,안보,화학무기 사용,1100901.202305311,20230531,중앙일보,,2023,INST,,,,
S00169,Q14,안보,탄저균 테러,1101101.202503091,20250309,한국일보,사회>사회갈등>테러행위,2025,IRRELEVANT,,,,
S00170,Q16,안보,방사능 유출,2100201.202203011,20220301,머니투데이,,2022,IRRELEVANT,,,,
S00171,Q19,안보,노비촉,2100801.202502151,20250215,아시아경제,범죄>범죄일반>사기,2025,OTHER,,,,
S00172,Q20,안보,북한 생화학무기,8100401.20260311,20260311,YTN,범죄>기업범죄>거래제한,2026,IRRELEVANT,,,,
S00173,Q16,안보,방사능 유출,1100101.202208192,20220819,경향신문,사고>산업사고>화재,2022,INST,,,,
S00174,Q22,비CBRN,사제폭탄,2100201.202604061,20260406,머니투데이,사회>사회갈등>시위,2026,IRRELEVANT,,,,
S00175,Q28,비CBRN,다중이용시설 테러,2100311.202208011,20220801,서울경제,사고>산업사고>화재,2022,INST,,,,
S00176,Q23,비CBRN,드론 공격,2100801.202603161,20260316,아시아경제,사회>사회문제>성차별,2026,IRRELEVANT,,,,
S00177,Q22,비CBRN,사제폭탄,1101101.20220813,20220813,한국일보,사회>사회갈등>테러행위,2022,OTHER,,,,
S00178,Q02,산업,암모니아 누출 사고,2100601.20240912,20240912,한국경제,사고>산업사고>화재,2024,INST,,,,
S00179,Q14,안보,탄저균 테러,1400601.20251127,20251127,충청일보,,2025,INST,,,,
S00180,Q04,산업,황산 유출 사고,1100901.202308032,20230803,중앙일보,,2023,EVENT,20230803,창원시,황산,175.0
S00181,Q25,비CBRN,차량 돌진 테러,2100351.202208151,20220815,이투데이,범죄>범죄일반>폭행,2022,EVENT,20220814,워싱턴DC,차량 돌진,72.0
S00182,Q09,산업,유독가스 누출 대피,8100401.202406242,20240624,YTN,사고>산업사고>폭발,2024,INST,,,,
S00183,Q25,비CBRN,차량 돌진 테러,2100851.20250102,20250102,아주경제,사고>교통사고>노상사고,2025,EVENT,20250101,뉴올리언스,차량 돌진,392.0
S00184,Q03,산업,염소 가스 누출,4100608.202112031,20211203,브레이크뉴스,,2021,INST,,,,
S00185,Q30,비CBRN,원전 방사선 피폭,7100251.202307071,20230707,미디어오늘,사고>산업사고>원자력사고,2023,OTHER,,,,
S00186,Q18,안보,백색가루 신고,2100861.202509241,20250924,브릿지경제,,2025,INST,,,,
S00187,Q22,비CBRN,사제폭탄,1500601.202206121,20220612,매일신문,범죄>범죄일반>방화,2022,IRRELEVANT,,,,
S00188,Q27,비CBRN,테러 예고 글,7100251.202501182,20250118,미디어오늘,범죄>범죄일반>살인,2025,IRRELEVANT,,,,
S00189,Q05,산업,화학공장 폭발,4100058.202406242,20240624,노컷뉴스,사고>산업사고>폭발,2024,EVENT,20240624,화성시,화재,328.0
S00190,Q07,산업,톨루엔 누출,1100101.202209132,20220913,경향신문,사고>산업사고>폭발,2022,OTHER,,,,
S00191,Q14,안보,탄저균 테러,2100201.202602251,20260225,머니투데이,,2026,OTHER,,,,
S00192,Q28,비CBRN,다중이용시설 테러,1600201.202308152,20230815,광주매일신문,,2023,INST,,,,
S00193,Q21,비CBRN,폭발물 테러,1200401.202210251,20221025,인천일보,,2022,INST,,,,
S00194,Q15,안보,북한 핵실험,1100401.20251029,20251029,동아일보,,2025,OTHER,,,,
S00195,Q14,안보,탄저균 테러,1200101.202511021,20251102,경기일보,,2025,INST,,,,
S00196,Q11,안보,화학무기 사용,1100801.20240122,20240122,조선일보,,2024,IRRELEVANT,,,,
S00197,Q21,비CBRN,폭발물 테러,1100101.202210091,20221009,경향신문,사회>사회문제>미성년범죄,2022,IRRELEVANT,,,,
S00198,Q13,안보,생물테러,1620001.202302101,20230210,광남일보,,2023,INST,,,,
S00199,Q22,비CBRN,사제폭탄,1100611.2024062,20240620,서울신문,범죄>범죄일반>유괴/납치,2024,IRRELEVANT,,,,
S00200,Q15,안보,북한 핵실험,1500201.202410072,20241007,경북일보,,2024,OTHER,,,,
S00201,Q23,비CBRN,드론 공격,1101001.20250529,20250529,한겨레,사회>사회갈등>전쟁,2025,IRRELEVANT,,,,
S00202,Q26,비CBRN,폭발물 협박,1200401.202508181,20250818,인천일보,,2025,EVENT,20250817,수원시,폭발물 협박,469.0
S00203,Q19,안보,노비촉,1100801.20240217,20240217,조선일보,범죄>기업범죄>횡령,2024,EVENT,20240216,러시아,의문사,274.0
S00204,Q11,안보,화학무기 사용,2100701.202307251,20230725,헤럴드경제,,2023,INST,,,,
S00205,Q23,비CBRN,드론 공격,1100401.202301031,20230103,동아일보,사회>사회갈등>전쟁,2023,IRRELEVANT,,,,
S00206,Q27,비CBRN,테러 예고 글,2100501.202509121,20250912,파이낸셜뉴스,,2025,EVENT,20250911,서울시,테러 예고 글,488.0
S00207,Q26,비CBRN,폭발물 협박,1100701.202403101,20240310,세계일보,,2024,REF,,,,
S00208,Q24,비CBRN,총기 난사,1100751.20251207,20251207,아시아투데이,범죄>범죄일반>살인,2025,EVENT,20251206,프리토리아,총기난사,536.0
S00209,Q08,산업,질산 누출,2100351.202603182,20260318,이투데이,,2026,EVENT,20260318,수원시,질산,584.0
S00210,Q08,산업,질산 누출,1500601.202511051,20251105,매일신문,사고>산업사고>붕괴,2025,EVENT,20251105,포항시,유해가스,510.0
S00211,Q11,안보,화학무기 사용,8100101.20220413,20220413,KBS,,2022,OTHER,,,,
S00212,Q18,안보,백색가루 신고,1100611.202206121,20220612,서울신문,,2022,EVENT,20220609,대구 수성구,백색가루,57.0
S00213,Q29,비CBRN,공항 폭발물 신고,1501201.202407152,20240715,경북매일신문,,2024,INST,,,,
S00214,Q16,안보,방사능 유출,1500701.202503281,20250328,부산일보,사고>산업사고>원자력사고,2025,INST,,,,
S00215,Q16,안보,방사능 유출,8100401.202208191,20220819,YTN,사회>사회갈등>전쟁,2022,EVENT,20220811,자포리자,포격,69.0
S00216,Q24,비CBRN,총기 난사,8100401.20230118,20230118,YTN,,2023,EVENT,20230118,앨버커키,총격,118.0
S00217,Q14,안보,탄저균 테러,1100701.202311011,20231101,세계일보,,2023,OTHER,,,,
S00218,Q24,비CBRN,총기 난사,1100701.202310281,20231028,세계일보,,2023,EVENT,20231025,루이스턴,총기난사,239.0
S00219,Q02,산업,암모니아 누출 사고,1100701.202307071,20230707,세계일보,사고>교통사고>노상사고,2023,INST,,,,
S00220,Q02,산업,암모니아 누출 사고,8100101.20220705,20220705,KBS,,2022,OTHER,,,,
S00221,Q01,산업,불산 누출,1100501.202210301,20221030,문화일보,범죄>범죄일반>방화,2022,IRRELEVANT,,,,
S00222,Q13,안보,생물테러,1400301.202308231,20230823,동양일보,,2023,OTHER,,,,
S00223,Q13,안보,생물테러,5202752.202504231,20250423,평택시민신문,,2025,INST,,,,
S00224,Q04,산업,황산 유출 사고,4100078.202410241,20241024,뉴스핌,사고>교통사고>해상사고,2024,INST,,,,
S00225,Q08,산업,질산 누출,1400101.202310302,20231030,충청타임즈,사고>산업사고>원자력사고,2023,EVENT,20231030,후쿠시마,세정수 누출,242.0
S00226,Q22,비CBRN,사제폭탄,4101008.202408221,20240822,이데일리,사고>산업사고>폭발,2024,EVENT,20240822,광주 서구,사제폭발물,352.0
