sid,label,ev_date,ev_place,ev_object
S00801,EVENT,20230725,울산 남구,암모니아누출
S00802,IRRELEVANT,,,
S00803,IRRELEVANT,,,
S00806,EVENT,20230803,경남 창원시,황산누출
S00816,INST,,,
S00820,OTHER,,,
S00829,EVENT,20241024,경북 포항시,황산누출
S00835,EVENT,20251124,서울 노원구,폭발물설치협박
S00840,IRRELEVANT,,,
S00842,OTHER,,,
S00848,EVENT,20260417,경기 오산시,톨루엔가스누출
S00864,EVENT,20221023,우크라이나,더티밤사용주장논란
S00868,INST,,,
S00871,EVENT,20250203,,사제폭탄협박
S00877,IRRELEVANT,,,
S00885,EVENT,20231129,우크라이나,중금속중독의심독살
S00889,EVENT,20230725,울산 남구,암모니아누출
S00908,INST,,,
S00913,INST,,,
S00915,IRRELEVANT,,,
S00920,INST,,,
S00929,INST,,,
S00930,EVENT,20260417,오산시 누읍동,화학물질가스
S00931,INST,,,
S00941,IRRELEVANT,,,
S00974,IRRELEVANT,,,
S00976,EVENT,20230803,창원시 마산,황산
S00980,INST,,,
S00985,IRRELEVANT,,,
S00987,OTHER,,,
S00990,INST,,,
S01014,INST,,,
S01028,EVENT,20230414,제주공항,폭발물 협박
S01032,EVENT,20240528,비무장지대,오물풍선
S01034,EVENT,20251019,인천공항,폭발물 협박
S01035,INST,,,
S01048,IRRELEVANT,,,
S01051,OTHER,,,
S01061,REF,,,
S01062,INST,,,
S01068,IRRELEVANT,,,
S01073,OTHER,,,
S01077,EVENT,20251106,포항제철소,유해화학물질
S01083,OTHER,,,
S01088,IRRELEVANT,,,
S01089,EVENT,20240219,광주공항,폭발물 의심 우편물
S01119,OTHER,,,
S01121,IRRELEVANT,,,
S01135,OTHER,,,
S01137,EVENT,20260618,부산 부산진구,황화수소
S01138,OTHER,,,
S01143,OTHER,,,
S01151,OTHER,,,
S01158,OTHER,,,
S01161,EVENT,20260113,함안군 칠서면,암모니아
S01172,IRRELEVANT,,,
S01173,INST,,,
S01176,INST,,,
S01188,INST,,,
S01191,IRRELEVANT,,,
S01193,INST,,,
S01198,EVENT,20220722,서울 강동구,가스 질식
S01200,IRRELEVANT,,,
S01202,EVENT,20230731,인천 서구 석남동,화학물질 저장탱크
S01209,IRRELEVANT,,,
S01222,IRRELEVANT,,,
S01226,IRRELEVANT,,,
S01228,INST,,,
S01235,EVENT,20220531,전남 여수시,폭발
S01236,EVENT,20231122,미국 나이아가라,차량 폭발
S01238,OTHER,,,
S01243,IRRELEVANT,,,
S01248,EVENT,20231031,프랑스 파리,자폭 위협
S01257,EVENT,20240624,경기 화성시,화재
S01261,INST,,,
S01262,EVENT,20230414,제주공항,폭발물 협박
S01266,INST,,,
S01267,IRRELEVANT,,,
S01268,REF,,,
S01270,EVENT,20251026,충북 음성군 대소면,화학물질
S01271,INST,,,
S01272,OTHER,,,
S01290,IRRELEVANT,,,
S01294,EVENT,20260705,광주 광주일고,폭발물 협박
S01297,OTHER,,,
S01302,INST,,,
S01304,EVENT,20221026,러시아,핵훈련
S01306,IRRELEVANT,,,
S01308,INST,,,
S01309,EVENT,20251105,포항제철소,유독가스
S01311,INST,,,
S01320,OTHER,,,
S01327,REF,,,
S01332,OTHER,,,
S01342,OTHER,,,
S01357,INST,,,
S01368,EVENT,20260417,오산시 누읍동,화학물질
S01369,EVENT,20220225,부산 신평동,암모니아
S01378,IRRELEVANT,,,
S01380,EVENT,20240623,러시아 다게스탄,총기
S01386,EVENT,20240624,경기 화성시,화재
S01388,EVENT,20230814,서울시청,폭발물 협박
S01399,INST,,,
S01400,IRRELEVANT,,,
S01402,INST,,,
S01404,EVENT,20211213,전남 여수산단,폭발
S01409,IRRELEVANT,,,
S01414,EVENT,20231103,경북 고령군,암모니아
S01415,IRRELEVANT,,,
S01418,EVENT,20230803,창원시 마산,황산
S01420,IRRELEVANT,,,
S01422,IRRELEVANT,,,
S01423,EVENT,20260726,독일 베를린,차량 돌진
S01425,EVENT,20240822,광주 서구 치평동,사제폭탄
S01426,INST,,,
S01433,IRRELEVANT,,,
S01436,IRRELEVANT,,,
S01438,OTHER,,,
S01443,EVENT,20240723,프랑스 파리,테러 예고 글
S01451,OTHER,,,
S01456,EVENT,20251013,완주군 봉동읍,질산
S01468,INST,,,
S01482,IRRELEVANT,,,
S01486,INST,,,
S01490,IRRELEVANT,,,
S01492,EVENT,20250622,이란,핵시설 공습
S01496,INST,,,
S01502,INST,,,
S01505,IRRELEVANT,,,
S01507,IRRELEVANT,,,
S01511,OTHER,,,
S01521,INST,,,
S01525,IRRELEVANT,,,
S01528,INST,,,
S01539,IRRELEVANT,,,
S01544,EVENT,20251231,서울 역삼동,폭발물 협박
S01545,EVENT,20240613,부산 사상구 학장동,폭발
S01550,OTHER,,,
S01551,EVENT,20250805,서울 명동,폭발물 협박
S01554,OTHER,,,
S01556,OTHER,,,
S01568,EVENT,20260202,경기,폭발물 협박
S01569,IRRELEVANT,,,
S01570,INST,,,
S01574,EVENT,20250622,이란 포르도,핵시설
S01581,EVENT,20260709,경북 봉화군 석포면,화재
S01583,EVENT,20250805,경기 하남 용인,폭발물 협박
S01584,EVENT,20240528,비무장지대,오물풍선
S01590,IRRELEVANT,,,
S01592,IRRELEVANT,,,
S01600,IRRELEVANT,,,
S01611,EVENT,20230821,서울 강남역,협박글
S01615,OTHER,,,
S01619,IRRELEVANT,,,
S01621,INST,,,
S01626,INST,,,
S01629,INST,,,
S01632,EVENT,20230929,미국 일리노이,암모니아
S01640,EVENT,20240528,강원 경기,풍선
S01643,INST,,,
S01644,EVENT,20251105,포항제철소,유해가스
S01645,INST,,,
S01652,INST,,,
S01658,REF,,,
S01663,INST,,,
S01667,EVENT,20220422,전남 여수국가산단,황산
S01668,EVENT,20251114,우크라이나 키이우,드론
S01669,EVENT,20260204,제주시 영평동,혼합가스
S01679,IRRELEVANT,,,
S01687,IRRELEVANT,,,
S01704,INST,,,
S01705,INST,,,
S01711,EVENT,20220820,서울,협박글
S01716,REF,,,
S01726,EVENT,20240814,러시아 벨고로드,드론
S01731,EVENT,20240319,경기 의정부시,염소가스
S01742,INST,,,
S01743,IRRELEVANT,,,
S01749,OTHER,,,
S01751,INST,,,
S01753,OTHER,,,
S01758,EVENT,20230713,대구 서구 비산동,황산
S01759,EVENT,20211019,성남시 분당구,폭발물 협박
S01762,EVENT,20230909,전북 군산시,불산
S01765,IRRELEVANT,,,
S01784,IRRELEVANT,,,
S01793,INST,,,
S01800,IRRELEVANT,,,
S01801,EVENT,20260612,충북 청주,유독가스
S01804,IRRELEVANT,,,
S01809,EVENT,20240624,경기 화성시,폭발
S01812,INST,,,
S01814,INST,,,
S01824,INST,,,
S01827,REF,,,
S01840,EVENT,20230713,대구 서구 비산동,황산
S01843,EVENT,20240624,경기 화성시,화재
S01850,INST,,,
S01851,IRRELEVANT,,,
S01858,EVENT,20260204,제주시 영평동,혼합가스
S01862,INST,,,
S01865,IRRELEVANT,,,
S01866,EVENT,20231105,러시아 모스크바,총기
S01872,INST,,,
S01874,INST,,,
S01880,EVENT,20230806,경기남부,사제폭탄
S01883,IRRELEVANT,,,
S01899,INST,,,
S01908,EVENT,20230703,전북 군산시,암모니아
S01912,INST,,,
S01915,IRRELEVANT,,,
S01920,EVENT,20230909,전북 군산,폐산
S01922,INST,,,
S01926,INST,,,
S01929,IRRELEVANT,,,
S01938,IRRELEVANT,,,
S01939,INST,,,
S01943,EVENT,20250310,충남 천안시,질산
S01949,INST,,,
S01959,EVENT,20250905,경기 김포시,암모니아
S01963,OTHER,,,
S01976,IRRELEVANT,,,
S01978,INST,,,
S01983,INST,,,
S01987,EVENT,20251215,경기 성남시 판교,폭발물 협박
S01991,IRRELEVANT,,,
S01992,REF,,,
S01993,INST,,,
S01999,EVENT,20221114,제주시 한림읍,질산
S02001,INST,,,
S02002,EVENT,20230808,서울,폭발물 협박
S02007,OTHER,,,
S02011,OTHER,,,
S02012,INST,,,
S02019,INST,,,
S02030,EVENT,20251105,경북 포항시,유해가스
S02033,IRRELEVANT,,,
S02036,IRRELEVANT,,,
S02039,OTHER,,,
S02040,OTHER,,,
S02046,EVENT,20230909,전북 군산시,질산 불산 혼합물
S02062,EVENT,20221006,태국 농부아람푸주,총기
S02065,IRRELEVANT,,,
S02067,EVENT,20250805,서울 중구,폭발물 협박
S02070,IRRELEVANT,,,
S02076,IRRELEVANT,,,
S02083,IRRELEVANT,,,
S02086,EVENT,20260410,대구 달성군 논공읍,황산
S02090,OTHER,,,
S02097,OTHER,,,
S02103,EVENT,20251014,경기 오산시,암모니아
S02104,EVENT,20240927,울산 울주군 온산읍,유해화학물질
S02108,EVENT,20250311,서울,테러 위협 게시글
S02110,EVENT,20230803,경남 창원시,발연황산
S02112,EVENT,20240624,경기 화성시,화재 리튬전지
S02113,IRRELEVANT,,,
S02119,OTHER,,,
S02120,IRRELEVANT,,,
S02124,EVENT,20250909,인천 미추홀구,가스
S02128,EVENT,20260821,서울 영등포구,암모니아
S02131,IRRELEVANT,,,
S02139,EVENT,20260508,호르무즈 해협,드론 미사일 공격
S02140,EVENT,20230909,전북 군산시,질산가스
S02145,INST,,,
S02147,IRRELEVANT,,,
S02160,INST,,,
S02162,INST,,,
S02164,EVENT,20240311,중국 베이징,차량 돌진
S02175,IRRELEVANT,,,
S02178,EVENT,20250916,경기 수원시,허위 폭발물 신고
S02193,IRRELEVANT,,,
S02194,INST,,,
S02198,INST,,,
S02202,EVENT,20220807,서울,암살예고글
S02208,IRRELEVANT,,,
S02209,IRRELEVANT,,,
S02216,OTHER,,,
S02223,OTHER,,,
S02232,EVENT,20230713,대구 서구 비산동,황산
S02238,EVENT,20260724,파키스탄 카이베르파크툰크와주,차량폭탄
S02245,INST,,,
S02249,EVENT,20240130,서울,살인예고 테러글
S02250,INST,,,
S02254,IRRELEVANT,,,
S02256,INST,,,
S02257,OTHER,,,
S02259,INST,,,
S02261,IRRELEVANT,,,
S02262,EVENT,20260106,충북 청주시 오송역,폭발물 암시글
S02264,IRRELEVANT,,,
S02270,INST,,,
S02271,INST,,,
S02273,OTHER,,,
S02275,IRRELEVANT,,,
S02281,EVENT,20220930,경기 화성시,약품공장 폭발
S02288,EVENT,20260312,이라크 바스라,유조선 공격
S02300,EVENT,20260601,충북 청주시,불소
S02301,EVENT,20251105,경북 포항시,유해화학물질
S02308,INST,,,
S02312,EVENT,20251126,부산 서구,암모니아
S02313,EVENT,20240319,경기 의정부시,염소가스
S02322,INST,,,
S02325,IRRELEVANT,,,
S02326,IRRELEVANT,,,
S02333,IRRELEVANT,,,
S02334,EVENT,20230713,대구 서구 비산동,황산가스
S02339,EVENT,20220704,대구 수성구,백색가루
S02343,EVENT,20240729,전남 여수시 화치동,이산화황
S02347,OTHER,,,
S02349,INST,,,
S02353,INST,,,
S02354,INST,,,
S02369,EVENT,20220211,전남 여수시 화치동,폭발
S02378,IRRELEVANT,,,
S02383,IRRELEVANT,,,
S02386,INST,,,
S02387,INST,,,
S02388,IRRELEVANT,,,
S02391,OTHER,,,
S02393,EVENT,20241220,독일 마그데부르크,차량 돌진
S02396,EVENT,20250809,전북 정읍시 북면,황산
S02405,IRRELEVANT,,,
S02406,INST,,,
S02408,INST,,,
S02416,EVENT,20260318,경기 수원시,질산
S02419,EVENT,20240624,경기 화성시,리튬전지 화재
S02420,EVENT,20251218,대구 남구,폭발물 협박
S02423,EVENT,20251214,호주 시드니,총기
S02426,EVENT,20240614,울산,폭발물 협박메일
S02439,INST,,,
S02440,OTHER,,,
S02441,IRRELEVANT,,,
S02444,IRRELEVANT,,,
S02446,INST,,,
S02456,IRRELEVANT,,,
S02465,INST,,,
S02470,OTHER,,,
S02475,INST,,,
S02476,EVENT,20250927,서울 여의도,테러예고글
S02479,OTHER,,,
S02481,IRRELEVANT,,,
S02482,EVENT,20240829,부산 해운대구,백색가루
S02490,INST,,,
S02501,IRRELEVANT,,,
S02517,IRRELEVANT,,,
S02519,OTHER,,,
S02523,IRRELEVANT,,,
S02529,INST,,,
S02532,IRRELEVANT,,,
S02543,OTHER,,,
S02550,OTHER,,,
S02551,INST,,,
S02553,EVENT,20251013,전북 완주군 봉동읍,질산
S02557,OTHER,,,
S02559,OTHER,,,
S02561,OTHER,,,
S02565,IRRELEVANT,,,
S02569,EVENT,20240501,우크라이나,화학물질
S02570,IRRELEVANT,,,
S02573,IRRELEVANT,,,
S02581,EVENT,20260601,대전 유성구,폭발 유독가스
S02582,INST,,,
S02588,OTHER,,,
S02591,INST,,,
S02598,EVENT,20241120,폴란드 칼리닌그라드 접경,액체폭발물
S02605,INST,,,
S02610,IRRELEVANT,,,
S02613,OTHER,,,
S02617,EVENT,20250614,전남 영광군,황산
S02629,EVENT,20230713,대구 서구 비산동,황산
S02631,INST,,,
S02632,IRRELEVANT,,,
S02642,OTHER,,,
S02645,EVENT,20240927,울산 울주군 온산읍,톨루엔
S02646,EVENT,20251218,경기 수원시,폭파협박
S02649,EVENT,20220612,대구 수성구,백색가루
S02664,EVENT,20230909,전북 군산시,질산 불산
S02673,EVENT,20211026,경기 부천시,암모니아
S02676,IRRELEVANT,,,
S02678,EVENT,20260821,서울 영등포구,암모니아
S02680,OTHER,,,
S02683,EVENT,20260717,요르단,드론 미사일 공격
S02696,INST,,,
S02698,OTHER,,,
S02707,OTHER,,,
S02708,INST,,,
S02719,INST,,,
S02720,OTHER,,,
S02721,INST,,,
S02724,OTHER,,,
S02733,INST,,,
S02737,IRRELEVANT,,,
S02740,IRRELEVANT,,,
S02760,EVENT,20230909,전북 군산시,질산 불산
S02763,EVENT,20260410,대구 달성군 논공읍,황산코발트
S02765,EVENT,20230704,미국 필라델피아,백색가루
S02768,OTHER,,,
S02770,IRRELEVANT,,,
S02782,OTHER,,,
S02790,OTHER,,,
S02794,IRRELEVANT,,,
S02795,EVENT,20260709,경북 봉화군 석포면,화재 황산제조시설
S02800,INST,,,
S02803,EVENT,20251210,인천,폭발물 협박
S02805,OTHER,,,
S02811,IRRELEVANT,,,
S02814,OTHER,,,
S02820,INST,,,
S02822,INST,,,
S02827,INST,,,
S02829,EVENT,20260821,서울 영등포구,암모니아
S02834,OTHER,,,
S02838,IRRELEVANT,,,
S02841,IRRELEVANT,,,
S02843,INST,,,
S02846,INST,,,
S02847,IRRELEVANT,,,
S02852,IRRELEVANT,,,
S02854,OTHER,,,
S02859,EVENT,20220211,전남 여수시 화치동,폭발
S02865,OTHER,,,
